Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
East Asia & Pacific,26.3005526158999,24.3337482077611,36.4051642697327,40.3496492315065,37.5327000610766,36.6259914483855,34.2418715294984,33.8384652635114,34.6507658530445,33.570318568211,33.0651317059876,31.1852641453963,30.4402755229341,29.0783458164834,26.7396506876727,25.2596885556767,23.0369353696,22.2278181196417,21.6689346688459,21.3922772364714,21.5485812452873,23.1207400469215,23.8680215629055,22.3662222698103,21.9571435881623,22.3776348227825,22.969615855199,23.3824665395963,22.6734067069369,21.9908455459138,21.5603792791167,20.6569866993733,19.6426583120594,19.3730646101709,19.0132492811606,18.4735505081882,18.2369101700165,17.8234108905622,17.0277702232182,16.2334603008137,15.7828755454006,15.2395634998403,14.8002926925782,14.4092576218935,14.2546927014465,14.240578016103,14.0510228077383,14.0980344288458,14.079863967645,13.8851603748826,13.779955137236,14.5949625622011,15.3719886555735,14.3002954038028,14.6946325034064,13.4861216656017,14.310070335703,13.6146508503064,12.4414147329079,12.0713941694781,10.8430122654563,10.1747635386871
Europe & Central Asia,22.0842012070189,21.7732412719133,21.270608800919,20.8536306496104,20.3931405543516,19.6828454366984,19.2196663163701,19.0532266223657,18.6971922805335,18.3693955274119,18.0602905881969,18.1076185421896,17.7819780584267,17.4580426925026,17.5360731009029,17.2561264260531,17.1477722976325,16.9231199952331,16.8423248640979,16.6696966587846,16.5955866983446,16.3820781004528,16.3964777341816,16.497667038173,16.3537446525062,16.2211800710638,16.3080967461082,16.1674330441324,15.8610056392206,15.2571183340121,14.8809627262595,14.3957427367647,13.7962842303136,13.2138507412239,12.8698212782046,12.5528237122253,12.3275687049752,12.106783258994,11.9283523783009,11.6505139295569,11.6706800179122,11.5527551945209,11.5436597489849,11.6252908812368,11.8418805424961,11.8042434982199,12.0170500397887,12.3224537940414,12.7133470188853,12.6846741288421,12.6890892827382,12.5488324404308,12.6579059417445,12.5063203571753,12.6322822964697,12.5590065258663,12.4527353655888,11.9669872028916,11.6874787982942,11.3655270173546,11.0942663974159,11.0690035126785
Latin America & Caribbean,42.0352565790372,41.7562099543576,41.454937346379,41.0750268080773,40.5388985754893,39.8546867270074,39.1574690945611,38.4165119262028,37.7104779152329,37.1523367942638,36.6403252715916,36.1462555933469,35.7049812140873,35.2811611308156,34.7599618662012,34.3167529472942,33.950348395616,33.5590409328676,33.1800439064456,32.7141216722619,32.2266356247341,31.7987861487297,31.3605464360034,30.8566172972993,30.3367451810102,29.8403735732594,29.3195018009009,28.7747789332078,28.1909288862796,27.6868572474084,27.1425419253026,26.6070794091493,26.0413596999856,25.6147862464768,25.1252688908644,24.6507551474553,24.1063611935003,23.6141985850717,23.148884319965,22.6886418677724,22.1789174780537,21.6551279235871,21.1241821166514,20.5796305973593,20.2501530328996,19.9146771601213,19.5160621366282,19.1526425527214,18.8397126159479,18.6184264558726,18.3752266562869,18.1695862875137,17.8453631089553,17.5585588471511,17.3313153883529,17.053799632147,16.5492590578542,16.3069093485757,15.9956875792626,15.5037528013292,15.1003392874645,14.7786666342484
Middle East & North Africa,47.4779533235207,47.1873003821148,47.3485323300711,46.8963120866572,46.4799427113075,46.0186122965444,45.67902201756,45.2808292662447,44.8771843265567,44.5229049025682,44.0618488894818,43.6573006077015,43.1388315498692,42.6819782153546,42.4891083043124,42.3893480694953,42.2841500578691,42.0127829597208,41.8684368668796,41.9160582240558,41.6103157426297,41.1405265259808,40.8974172010903,40.3999467362553,39.7061872652229,38.9050065509192,37.8844474910406,36.7369498679744,35.6034507742126,34.4037746922164,33.404663877189,32.4702171891951,31.5297917267387,30.3797396576163,29.0878287769122,27.8550890225346,26.7660076582958,26.0407877841475,25.5488134049301,25.1437036622521,24.8313989031554,24.5801341117765,24.2943324942855,24.1924522586126,24.0704463173118,24.0077959384998,24.048330356362,24.2083277219091,24.261039903509,24.2968453349046,24.534705684716,24.6823744817595,24.8259977970871,24.7855217322302,24.5380661979449,24.0158003521687,23.0455583784722,22.5554946085024,21.8879147427883,21.058566234051,20.5996882131054,20.1420489604188
North America,23.9715286306003,23.5442622869649,22.6548114850686,21.9641403225652,21.3104382285265,19.574726728074,18.4837265010916,17.837261094175,17.6,17.871800362084,18.3062871249961,17.1617424579604,15.6287166030667,14.8767634895681,14.857824167769,14.7161440391291,14.697217527769,15.1387168479039,15.0190000257216,15.5803478318573,15.8511011456896,15.7511968348699,15.8217482674396,15.5412719494916,15.5411352900309,15.7118237598039,15.492161092649,15.5720654011896,15.8518651264579,16.2505012229923,16.5298340493018,16.0202823655279,15.6306728649309,15.2207848576917,14.8311664830958,14.4312420887539,14.2018804277596,13.9528948257075,14.0142242474542,13.8954382273347,14.0369791309369,13.7759430004701,13.6558181127274,13.7556686542851,13.6654988402701,13.6752465982516,13.9749367320621,14.0045784857207,13.7534245550685,13.2923836652029,12.8215654290393,12.5308827241507,12.4402861219221,12.2498099484675,12.3391915166642,12.2292021450936,12.0386553539516,11.6479625402105,11.4466659763664,11.245335740484,10.7555944758012,10.8549166803611
South Asia,43.4453179660761,43.2849659670563,43.1157171764334,42.9058898163733,42.69962873282,42.3358715762301,41.9392615553148,41.666865198569,41.3109805729891,40.9283272413768,40.6896026112161,40.5915900202491,40.3495342051024,40.1198478059417,39.8140344478221,39.2231341643412,39.0079488046512,38.4061072846168,37.9928647512722,37.8921404560937,37.8322981510834,37.689114914462,37.3254294276671,36.9498341970935,36.6771669632584,36.1724156594369,35.9506431605405,35.2206853936956,34.6784484005723,34.1087998107328,33.3846559812156,32.8827055081966,32.3366892963053,31.6960034233573,31.28527841593,30.7468518539348,30.1786413962545,29.706448484006,29.2208468547182,28.7131987376528,28.4000394157068,28.0930675464758,27.4992458505484,26.8250495955445,26.1843495486726,25.3996648293326,24.7209959137882,24.2792709972452,23.8033281779627,23.4438801857246,22.9772672466499,22.5074113517966,22.0577506657294,21.6234411944002,20.8382477682124,20.4955245460969,20.2269618221578,19.6780249398774,19.4303745613095,18.9326809742979,18.5162469099945,18.3365608834268
Sub-Saharan Africa,47.3902992718627,47.4839660076755,47.5685810345182,47.5917097583606,47.589214974713,47.5840699704966,47.5914637654313,47.5805893032021,47.5792877237523,47.5932744775523,47.5660967317535,47.6002483286558,47.5152185453176,47.3899177183822,47.3788536682498,47.3427581841148,47.2310374325751,47.1767131525015,47.1326492313659,47.0676150792363,46.9205441528265,46.7552339813868,46.6011839930512,46.5294917163118,46.3657691201539,46.169120971707,45.9314453622193,45.6361811753841,45.2027796411747,44.8592878893828,44.4089843731338,44.0949454263203,43.7287471159675,43.4468967573727,43.0971460142398,42.9838044060703,42.6780689403633,42.2325278436999,41.889860375121,41.8095291424198,41.6012480308106,41.4408581939463,41.2068729621967,40.9581700846459,40.7569986076908,40.6249724104125,40.43217559319,40.1906098897248,40.0263100692436,39.6355796429443,39.2684784934906,38.8660986222636,38.3384070351019,37.8293258945595,37.3688304631822,36.9284408027138,36.4870880685244,36.1038766291186,35.7602078843382,35.4296239864646,35.0096273952492,34.6356054069473
