Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
East Asia & Pacific,27440251.18955615,25433707.528345212,38574919.74169844,43795465.13336089,41692046.558039464,41641080.22760819,39933818.35846309,40422318.70566063,42421398.6098273,42162091.589645185,42604107.58843684,41249766.36672896,41222564.57078609,40264906.796021655,37802332.68384131,36372543.6714328,33728081.00393799,33051740.063518256,32721398.420096535,32805371.801134765,33538276.711394697,36531893.15018891,38330271.47961813,36495763.933306284,36366698.326014064,37622784.91804593,39223169.34326146,40578584.42951241,39985799.87841914,39389040.9921193,39202107.36189456,38103960.19032585,36721038.76647317,36684728.903933294,36458919.9675541,35855181.541249834,35818075.23217932,35410984.0657977,34203345.936221965,32937577.86806654,32325675.967442527,31493015.509834934,30843364.778528776,30268235.609910328,30172215.961566456,30368285.53200521,30187299.219250776,30510335.815984838,30692894.144029785,30480283.48731969,30456508.62939041,32488271.275685634,34491310.39308384,32336893.339086473,33477786.214860097,30944000.834297195,33066592.40008674,31683102.81432796,29130125.54859768,28414334.048018396,25632168.97829527,24116121.163798615
Europe & Central Asia,14714121.5663769,14674246.744510505,14502500.215906167,14382388.374640575,14225430.927050998,13880994.458434885,13685884.022892505,13697062.377484791,13563899.08076838,13442491.421061771,13317631.261541674,13453231.72709293,13320231.633845614,13180839.079850662,13339356.32479851,13221121.586645957,13231095.874672148,13147888.234332427,13174410.311074829,13127427.659676945,13158483.549506987,13074342.060322251,13164342.605617655,13322259.404711552,13285355.339314353,13257796.270907031,13412265.234525317,13381249.576613022,13211675.980684157,12782521.180862647,12530224.618802315,12184045.862653857,11724312.902422555,11267919.063761203,11002315.707639467,10751638.482082022,10579633.184431018,10408340.577842522,10268833.784994567,10040979.049566029,10069301.79244788,9980530.723859796,9990739.340015115,10087281.661318623,10305643.303213976,10304085.926753294,10522464.699114798,10824736.772516048,11214295.981386691,11234305.990069492,11282752.8098802,11185143.490611041,11324528.04108321,11238272.419930618,11402793.12431708,11387193.998169243,11339875.163768983,10938763.186904049,10721864.594407028,10459438.573768534,10232833.943862984,10222933.459046502
Latin America & Caribbean,9211716.51131399,9407866.682357077,9602561.162706705,9781110.985276872,9921573.385340722,10021787.18811687,10111447.83367235,10181534.57135902,10252939.798449071,10357980.177796908,10471035.955474079,10585536.28070044,10712783.813917754,10843495.34757694,10941037.150334757,11058542.752187902,11197083.942032414,11327233.860899733,11462071.649755351,11562878.570555745,11648355.473990178,11743968.689084198,11828880.496046178,11885657.269371754,11929230.725345304,11973501.549956989,11999271.512148995,12006745.481228009,11990178.334303007,11999309.337704998,11986079.41784999,11969131.74646301,11927153.02657298,11940052.459877983,11915879.622605992,11889830.554397011,11819446.789106004,11764579.141507996,11713580.057014015,11655482.270803997,11561451.586536016,11448812.291790979,11321200.076491006,11174256.966086006,11135511.321930027,11087288.042057022,10995820.115679001,10916474.252099011,10858949.987004017,10849666.066897977,10820690.686213015,10820170.475433974,10745396.163827026,10686880.623018982,10659569.289488014,10597062.412283985,10387448.112476988,10335273.32271201,10231293.269973973,10004506.62895098,9823299.006965969,9679740.382659998
Middle East & North Africa,4983203.321719997,5080693.815735001,5233812.208746997,5323578.0878540035,5420707.283126002,5514501.934551997,5625609.092377005,5736086.836865004,5845617.481762005,5964760.283540004,6072216.313740004,6187654.429223998,6287249.2035120055,6400762.998097999,6557515.315710999,6742628.24786799,6954270.223562001,7140526.496149995,7323722.855475004,7551399.876508007,7740421.047826003,7925353.774972002,8155723.390438994,8319443.507951999,8444866.563167004,8540535.232881,8580477.569617013,8578540.202160012,8560069.275414998,8511704.478763003,8558408.437182004,8554142.603342991,8533609.104403006,8412077.789692007,8229051.8262260035,8054436.706426008,7905774.908011996,7855991.316836989,7870097.92143001,7906993.895894997,7971809.058296003,8054704.827209996,8113081.768432007,8230643.709291985,8353526.236907999,8509860.246837012,8720742.158303987,8989152.498089008,9226330.310908003,9459548.353465006,9764752.92423098,10022162.718852993,10280882.69981299,10479080.870447995,10592214.014810016,10579115.509405993,10345552.356221981,10305278.116175998,10179488.898251006,9964950.920907998,9887163.322088998,9792555.879666008
North America,4761339.025199999,4756117.563934062,4648735.599999997,4574113.489493397,4502104.980429371,4189600.293809079,4004665.700000005,3909499.5375768994,3898452.8000000003,3998976.1772195534,4145110.899999992,3941668.3687382047,3628498.238139897,3487925.2910757326,3517075.330410557,3519649.5006340784,3549936.6448000087,3694123.086500008,3703712.485599993,3884341.8775999974,3991233.3547999994,4006174.602885756,4063600.72431969,4028521.1883401284,4063827.7822999978,4145140.699748277,4125417.8021878237,4185669.1828113864,4301389.240274547,4455150.020099991,4584937.329599987,4502939.9714000095,4453864.244899997,4393672.457399996,4333458.957899999,4266453.233700002,4247276.096300005,4222473.099878279,4289335.241068319,4300673.856531773,4392310.774900007,4353919.310299999,4356863.969899984,4426784.442099995,4438686.482999988,4483080.960500011,4625922.193100006,4680121.741799991,4640492.875400009,4525605.494499991,4402889.1038000155,4335527.195099984,4337388.882400006,4302230.051899998,4366702.9374000095,4359797.868999982,4324836.325400004,4213431.898200006,4166210.9762000106,4115737.711400001,3975080.2590000047,4019812.4576000143
South Asia,24815636.65427503,25312821.06788803,25817013.407480005,26307726.604199976,26809707.862415,27207106.76033297,27570117.568961985,28016877.36821901,28422510.721325997,28818159.829951983,29312756.965989977,29880908.142222043,30358900.403797988,30895639.638241034,31381946.262793027,31637095.963019993,32187027.185362987,32422415.913716037,32820219.22979597,33497848.948550995,34237967.61107199,34908281.80018097,35386145.31052599,35876010.05045402,36469782.81797205,36828683.69412495,37466645.867927976,37558347.688087955,37834343.39675597,38070458.424401045,38102331.99003095,38357036.76839896,38557958.951807946,38643136.05276103,38986384.306314014,39136983.36144504,39214346.96455393,39390987.955196,39531403.67385507,39620620.973418035,39957307.45695104,40294298.45772207,40205826.368101954,39952104.36152493,39687697.19015605,39147586.70214698,38710431.611515015,38590799.33540703,38387843.60583694,38363838.23513406,38154812.526081994,37922692.46184903,37690226.989136055,37444965.00056304,36550918.067704916,36390729.81939404,36349319.84274002,35792979.79481108,35762266.81985005,35245050.767789036,34857420.29179194,34874517.92164192
Sub-Saharan Africa,10802565.120592626,11086711.41862109,11382239.65759692,11674154.218584053,11971827.217009062,12280427.971420586,12600030.492935926,12924467.016605718,13264957.63611447,13621761.563035024,13979702.609174812,14367622.065329012,14727966.148032002,15092018.962164005,15515003.872595001,15946599.33798101,16363715.718868984,16806409.772242013,17282980.793360986,17780998.551034987,18242401.034703996,18714286.14194098,19218799.043895014,19744620.907761984,20227699.393221017,20718643.965226,21209128.017433975,21688610.893719982,22093532.432663023,22542558.361052006,22942999.74108899,23401935.873067014,23827777.817753028,24304798.04483301,24741818.848207984,25331563.136643972,25828172.475782983,26229158.630819026,26692156.950254027,27338551.256519992,27923277.111462988,28559463.96872097,29161833.678259972,29767801.37985702,30427006.969690017,31158487.14562498,31865001.906748973,32555168.242586,33327616.28801303,33923525.74833597,34548306.02663004,35145919.379716955,35628980.168096974,36130664.400776975,36677754.032845035,37249673.886640005,37806314.823372,38410382.680032045,39064593.168156974,39736061.08844696,40306656.87518501,40910296.03954896
